Title,Impact Factor,Type,H index
journalofcircuitssystemsandcomputers,0.595,journal,23
designautomationforembeddedsystems,0.516,journal,26
actascientiarum-technology,0.231,journal,12
automatika,0.217,journal,16
neuralnetworkworld,0.5,journal,22
journalofinformationscienceandengineering,0.327,journal,32
journalofwebengineering,0.311,journal,10
imagingsciencejournal,0.366,journal,19
journalofdatabasemanagement,0.231,journal,29
internationaljournalofwebservicesresearch,0.405,journal,24
romanianjournalofinformationscienceandtechnology,0.28800000000000003,journal,12
journalofartificialintelligence,1.2570000000000001,journal,10
electronicsandcommunicationsinjapan,0.261,journal,10
cryptologia,0.326,journal,14
icgajournal,0.313,journal,13
journaloftheinstituteoftelecommunicationsprofessionals,0.22899999999999998,journal,12
iranianjournalofscienceandtechnology-transactionsofelectricalengineering,0.519,journal,3
acmtransactionsonasianandlow-resourcelanguageinformationprocessing,0.33899999999999997,journal,2
acmtransactionsonprivacyandsecurity,0.444,journal,1
